"Rates Key Employment Indicators: April 2005 to June 2026"
"Year","Month","Labor Force Participation Rate Both sexes","Labor Force Participation Rate Male","Labor Force Participation Rate Female","Employment Rate Both sexes","Employment Rate Male","Employment Rate Female","Unemployment Rate Both sexes","Unemployment Rate Male","Unemployment Rate Female","Underemployment Rate Both sexes","Underemployment Rate Male","Underemployment Rate Female"
"2005","January",.,.,.,.,.,.,.,.,.,.,.,.
"2005","February",.,.,.,.,.,.,.,.,.,.,.,.
"2005","March",.,.,.,.,.,.,.,.,.,.,.,.
"2005","April",64.821,79.517,50.201,91.720,91.664,91.808,8.280,8.336,8.192,26.135,28.863,21.844
"2005","May",.,.,.,.,.,.,.,.,.,.,.,.
"2005","June",.,.,.,.,.,.,.,.,.,.,.,.
"2005","July",64.556,79.510,49.705,92.296,92.382,92.158,7.704,7.618,7.842,20.480,23.362,15.890
"2005","August",.,.,.,.,.,.,.,.,.,.,.,.
"2005","September",.,.,.,.,.,.,.,.,.,.,.,.
"2005","October",64.772,79.808,49.798,92.622,92.591,92.671,7.378,7.409,7.329,21.178,23.952,16.756
"2005","November",.,.,.,.,.,.,.,.,.,.,.,.
"2005","December",.,.,.,.,.,.,.,.,.,.,.,.
"2005","Annual",64.716,79.612,49.900,92.214,92.215,92.213,7.786,7.785,7.787,22.582,25.370,18.156
"2006","January",63.595,79.383,47.938,91.863,91.613,92.275,8.137,8.387,7.725,21.147,23.930,16.610
"2006","February",.,.,.,.,.,.,.,.,.,.,.,.
"2006","March",.,.,.,.,.,.,.,.,.,.,.,.
"2006","April",64.817,79.582,50.152,91.765,91.339,92.436,8.235,8.661,7.564,25.409,28.313,20.887
"2006","May",.,.,.,.,.,.,.,.,.,.,.,.
"2006","June",.,.,.,.,.,.,.,.,.,.,.,.
"2006","July",64.613,78.857,50.470,91.859,91.743,92.039,8.141,8.257,7.961,23.440,26.433,18.812
"2006","August",.,.,.,.,.,.,.,.,.,.,.,.
"2006","September",.,.,.,.,.,.,.,.,.,.,.,.
"2006","October",63.824,79.190,48.536,92.608,92.331,93.057,7.392,7.669,6.943,20.315,23.101,15.828
"2006","November",.,.,.,.,.,.,.,.,.,.,.,.
"2006","December",.,.,.,.,.,.,.,.,.,.,.,.
"2006","Annual",64.213,79.252,49.275,92.024,91.758,92.449,7.976,8.242,7.551,22.584,25.436,18.062
"2007","January",64.824,79.050,50.703,92.170,91.885,92.613,7.830,8.115,7.387,21.505,24.571,16.796
"2007","February",.,.,.,.,.,.,.,.,.,.,.,.
"2007","March",.,.,.,.,.,.,.,.,.,.,.,.
"2007","April",64.519,79.984,49.158,92.604,92.306,93.085,7.396,7.694,6.915,18.924,21.593,14.646
"2007","May",.,.,.,.,.,.,.,.,.,.,.,.
"2007","June",.,.,.,.,.,.,.,.,.,.,.,.
"2007","July",63.567,78.018,49.220,92.186,92.070,92.368,7.814,7.930,7.632,21.991,24.772,17.630
"2007","August",.,.,.,.,.,.,.,.,.,.,.,.
"2007","September",.,.,.,.,.,.,.,.,.,.,.,.
"2007","October",63.185,78.287,48.181,93.748,93.579,94.021,6.252,6.421,5.979,18.143,20.633,14.143
"2007","November",.,.,.,.,.,.,.,.,.,.,.,.
"2007","December",.,.,.,.,.,.,.,.,.,.,.,.
"2007","Annual",64.020,78.832,49.311,92.674,92.460,93.014,7.326,7.540,6.986,20.134,22.874,15.811
"2008","January",63.370,78.485,48.424,92.643,92.227,93.311,7.357,7.773,6.689,18.900,21.514,14.759
"2008","February",.,.,.,.,.,.,.,.,.,.,.,.
"2008","March",.,.,.,.,.,.,.,.,.,.,.,.
"2008","April",63.171,78.694,47.797,92.005,91.945,92.102,7.995,8.055,7.898,19.755,22.336,15.552
"2008","May",.,.,.,.,.,.,.,.,.,.,.,.
"2008","June",.,.,.,.,.,.,.,.,.,.,.,.
"2008","July",64.252,78.999,49.665,92.637,92.559,92.761,7.363,7.441,7.239,21.083,23.932,16.609
"2008","August",.,.,.,.,.,.,.,.,.,.,.,.
"2008","September",.,.,.,.,.,.,.,.,.,.,.,.
"2008","October",63.694,78.896,48.598,93.186,93.023,93.447,6.814,6.977,6.553,17.458,20.372,12.780
"2008","November",.,.,.,.,.,.,.,.,.,.,.,.
"2008","December",.,.,.,.,.,.,.,.,.,.,.,.
"2008","Annual",63.624,78.770,48.623,92.620,92.441,92.908,7.380,7.559,7.092,19.299,22.038,14.926
"2009","January",63.277,78.276,48.458,92.309,91.985,92.827,7.691,8.015,7.173,18.207,20.985,13.813
"2009","February",.,.,.,.,.,.,.,.,.,.,.,.
"2009","March",.,.,.,.,.,.,.,.,.,.,.,.
"2009","April",64.028,78.992,49.257,92.525,92.496,92.571,7.475,7.504,7.429,18.918,21.157,15.377
"2009","May",.,.,.,.,.,.,.,.,.,.,.,.
"2009","June",.,.,.,.,.,.,.,.,.,.,.,.
"2009","July",64.586,78.550,50.750,92.396,92.372,92.432,7.604,7.628,7.568,19.813,22.455,15.763
"2009","August",.,.,.,.,.,.,.,.,.,.,.,.
"2009","September",.,.,.,.,.,.,.,.,.,.,.,.
"2009","October",63.976,78.811,49.258,92.880,92.594,93.336,7.120,7.406,6.664,19.380,22.156,15.009
"2009","November",.,.,.,.,.,.,.,.,.,.,.,.
"2009","December",.,.,.,.,.,.,.,.,.,.,.,.
"2009","Annual",63.969,78.658,49.434,92.529,92.364,92.789,7.471,7.636,7.211,19.088,21.694,15.003
"2010","January",64.490,78.407,50.678,92.718,92.226,93.474,7.282,7.774,6.526,19.742,22.534,15.513
"2010","February",.,.,.,.,.,.,.,.,.,.,.,.
"2010","March",.,.,.,.,.,.,.,.,.,.,.,.
"2010","April",63.591,78.103,49.238,91.953,91.768,92.242,8.047,8.232,7.758,17.781,20.076,14.198
"2010","May",.,.,.,.,.,.,.,.,.,.,.,.
"2010","June",.,.,.,.,.,.,.,.,.,.,.,.
"2010","July",63.922,78.614,49.364,93.043,92.882,93.297,6.957,7.118,6.703,17.944,20.413,14.066
"2010","August",.,.,.,.,.,.,.,.,.,.,.,.
"2010","September",.,.,.,.,.,.,.,.,.,.,.,.
"2010","October",64.227,78.921,49.647,92.876,92.632,93.262,7.124,7.368,6.738,19.572,22.355,15.211
"2010","November",.,.,.,.,.,.,.,.,.,.,.,.
"2010","December",.,.,.,.,.,.,.,.,.,.,.,.
"2010","Annual",64.057,78.513,49.729,92.650,92.380,93.072,7.350,7.620,6.928,18.765,21.348,14.754
"2011","January",63.724,78.519,49.095,92.560,92.390,92.829,7.440,7.610,7.171,19.425,21.986,15.393
"2011","February",.,.,.,.,.,.,.,.,.,.,.,.
"2011","March",.,.,.,.,.,.,.,.,.,.,.,.
"2011","April",64.247,78.787,49.846,92.766,92.416,93.314,7.234,7.584,6.686,19.357,21.993,15.270
"2011","May",.,.,.,.,.,.,.,.,.,.,.,.
"2011","June",.,.,.,.,.,.,.,.,.,.,.,.
"2011","July",64.345,78.409,50.380,92.933,92.715,93.269,7.067,7.285,6.731,19.121,21.594,15.322
"2011","August",.,.,.,.,.,.,.,.,.,.,.,.
"2011","September",.,.,.,.,.,.,.,.,.,.,.,.
"2011","October",66.261,80.396,52.230,93.583,93.344,93.947,6.417,6.656,6.053,19.147,21.492,15.585
"2011","November",.,.,.,.,.,.,.,.,.,.,.,.
"2011","December",.,.,.,.,.,.,.,.,.,.,.,.
"2011","Annual",64.647,79.030,50.391,92.967,92.721,93.350,7.033,7.279,6.650,19.260,21.763,15.395
"2012","January",64.175,78.691,49.805,92.810,92.499,93.298,7.190,7.501,6.702,18.798,21.112,15.211
"2012","February",.,.,.,.,.,.,.,.,.,.,.,.
"2012","March",.,.,.,.,.,.,.,.,.,.,.,.
"2012","April",64.678,79.267,50.232,93.104,92.957,93.334,6.896,7.043,6.666,19.326,21.649,15.711
"2012","May",.,.,.,.,.,.,.,.,.,.,.,.
"2012","June",.,.,.,.,.,.,.,.,.,.,.,.
"2012","July",64.013,77.716,50.381,92.954,92.777,93.225,7.046,7.223,6.775,22.806,25.662,18.443
"2012","August",.,.,.,.,.,.,.,.,.,.,.,.
"2012","September",.,.,.,.,.,.,.,.,.,.,.,.
"2012","October",63.873,78.223,49.611,93.166,93.048,93.350,6.834,6.952,6.650,19.008,21.340,15.366
"2012","November",.,.,.,.,.,.,.,.,.,.,.,.
"2012","December",.,.,.,.,.,.,.,.,.,.,.,.
"2012","Annual",64.184,78.472,50.007,93.009,92.821,93.302,6.991,7.179,6.698,19.984,22.434,16.189
"2013","January",64.083,77.707,50.559,92.914,92.540,93.484,7.086,7.460,6.516,20.911,23.645,16.783
"2013","February",.,.,.,.,.,.,.,.,.,.,.,.
"2013","March",.,.,.,.,.,.,.,.,.,.,.,.
"2013","April",63.826,78.365,49.421,92.453,92.418,92.507,7.547,7.582,7.493,19.173,21.535,15.466
"2013","May",.,.,.,.,.,.,.,.,.,.,.,.
"2013","June",.,.,.,.,.,.,.,.,.,.,.,.
"2013","July",63.872,78.160,49.682,92.708,92.663,92.779,7.292,7.337,7.221,19.228,21.534,15.629
"2013","August",.,.,.,.,.,.,.,.,.,.,.,.
"2013","September",.,.,.,.,.,.,.,.,.,.,.,.
"2013","October",63.917,78.114,49.786,93.600,93.256,94.136,6.400,6.744,5.864,18.063,20.693,13.994
"2013","November",.,.,.,.,.,.,.,.,.,.,.,.
"2013","December",.,.,.,.,.,.,.,.,.,.,.,.
"2013","Annual",63.924,78.087,49.861,92.919,92.720,93.229,7.081,7.280,6.771,19.339,21.842,15.467
"2014","January",63.757,77.839,49.793,92.462,92.071,93.069,7.538,7.929,6.931,19.505,22.044,15.612
"2014","February",.,.,.,.,.,.,.,.,.,.,.,.
"2014","March",.,.,.,.,.,.,.,.,.,.,.,.
"2014","April",65.214,79.228,51.338,92.969,92.817,93.201,7.031,7.183,6.799,18.175,20.425,14.751
