Period,Residual,Actual,Fitted
2021-02-01,-0.077979,91.155,91.233
2021-03-01,1.759017,92.946,91.187
2021-04-01,-0.80665,91.272,92.0787
2021-05-01,0.596289,92.283,91.6867
2021-06-01,0.307912,92.281,91.9731
2021-07-01,0.687501,92.808,92.1205
2021-08-01,-0.518352,91.931,92.4494
2021-09-01,-1.141467,91.06,92.2015
2021-10-01,0.940368,92.596,91.6556
2021-11-01,1.397704,93.503,92.1053
2021-12-01,0.600367,93.374,92.7736
2022-01-01,0.719385,93.612,92.8926
2022-02-01,0.274248,93.569,93.2948
2022-03-01,-0.26017,94.228,94.4882
2022-04-01,0.912285,94.29,93.3777
2022-05-01,-0.383344,94.027,94.4103
2022-06-01,-0.255587,93.97,94.2256
2022-07-01,0.382057,94.795,94.4129
2022-08-01,0.615599,94.696,94.0804
2022-09-01,1.149953,95.013,93.863
2022-10-01,0.141643,95.457,95.3154
2022-11-01,-0.111966,95.804,95.916
2022-12-01,-0.118637,95.668,95.7866
2023-01-01,-0.651737,95.218,95.8697
2023-02-01,-0.359829,95.173,95.5328
2023-03-01,-0.486941,95.261,95.7479
2023-04-01,-0.035524,95.516,95.5515
2023-05-01,0.32198,95.702,95.38
2023-06-01,-0.047495,95.453,95.5005
2023-07-01,-0.848485,95.114,95.9625
2023-08-01,0.089404,95.588,95.4986
2023-09-01,-0.26059,95.467,95.7276
2023-10-01,-0.05284,95.811,95.8638
2023-11-01,0.395559,96.438,96.0424
2023-12-01,0.774314,96.926,96.1517
2024-01-01,-0.746561,95.511,96.2576
2024-02-01,0.586864,96.461,95.8741
2024-03-01,-0.117461,96.089,96.2065
2024-04-01,-0.350111,95.95,96.3001
2024-05-01,-0.373975,95.868,96.242
2024-06-01,0.962143,96.879,95.9169
2024-07-01,-0.922762,95.255,96.1778
2024-08-01,-0.056003,95.959,96.015
2024-09-01,0.425866,96.343,95.9171
2024-10-01,-0.244879,96.078,96.3229
2024-11-01,0.178843,96.753,96.5742
2024-12-01,-0.090384,96.856,96.9464
2025-01-01,-0.346828,95.725,96.0718
2025-02-01,-0.255124,96.209,96.4641
2025-03-01,0.009426,96.133,96.1236
2025-04-01,-0.113416,95.933,96.0464
2025-05-01,0.166993,96.111,95.944
2025-06-01,-0.335839,96.282,96.6178
2025-07-01,-0.835121,94.668,95.5031
2025-08-01,0.581601,96.099,95.5174
2025-09-01,0.185887,96.207,96.0211
2025-10-01,-0.923307,95.031,95.9543
2025-11-01,-0.281378,95.628,95.9094
2025-12-01,-0.207344,95.628,95.8353
2026-01-01,-0.877716,94.194,95.0717
2026-02-01,-0.044372,94.892,94.9364
2026-03-01,0.140497,95.011,94.8705
2026-04-01,0.473818,95.294,94.8202
2026-05-01,0.055672,95.207,95.1513
2026-06-01,-0.138414,95.14,95.2784
