Horizon,Model_Width,N,Empirical_SD,Empirical_Width,Width_Ratio,Assessment
1,2.098267021163025,13,0.437381191276182,1.3563537096957787,1.547,Model interval wider than observed error
2,2.3258151361457635,13,0.4000454859462533,1.0438116147600875,2.228,Model interval wider than observed error
3,2.5330036721152283,13,0.34528758906899776,0.8865061825316582,2.857,Model interval wider than observed error
4,2.724481447610458,13,0.44475620855723486,1.401511130272118,1.944,Model interval wider than observed error
5,2.9033585231242114,13,0.423688113049752,1.2377467138576288,2.346,Model interval wider than observed error
6,3.071836953554424,13,0.39698476392198595,1.0635859785681248,2.888,Model interval wider than observed error
7,3.231543566880532,13,0.5487574127767286,1.4653629254663911,2.205,Model interval wider than observed error
8,3.3837206415529124,13,0.5525247759685629,1.4455662785038894,2.341,Model interval wider than observed error
9,3.529342280864199,13,0.5205236730298257,1.3770567693193867,2.563,Model interval wider than observed error
10,3.6691890781098095,13,0.5549434962828302,1.4936072250121182,2.457,Model interval wider than observed error
11,3.8038980068272963,13,0.4977960029748818,1.3545754503213203,2.808,Model interval wider than observed error
12,3.9339968990543355,13,0.47204847569955377,1.3524602135080637,2.909,Model interval wider than observed error
